,Car_name,fueltypes,aspiration,doornumbers,carbody,drivewheels,cylindernumber,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,avg_mpg,price,Estimated price,Residual
1,alfa-romero,#NAME?,#NAME?,-0.366512921,0.32663426,-0.366512921,0.32663426,1.500544911,1.634855059,1.425621887,1.35782552,2.059629576,1.582587536,0.218456258,-0.014284748,0.787195008,1.549588158,2.142086849,1.264397686,2.252351713,2.246603831,0.005747882
2,alfa-romero,#NAME?,#NAME?,-0.366512921,0.32663426,-0.366512921,0.32663426,1.500544911,1.634855059,1.425621887,1.35782552,2.059629576,1.582587536,0.218456258,-0.014284748,0.787195008,1.549588158,2.142086849,1.264397686,2.273271174,2.246603831,0.026667343
3,alfa-romero,#NAME?,#NAME?,-0.366512921,#NAME?,-0.366512921,0.583198081,1.514819457,1.637603991,1.430801591,1.375967874,2.072612707,1.614202647,-0.014284748,0.218456258,0.787195008,1.616801257,2.142086849,1.242924992,2.273271174,2.278517211,-0.005246038
4,audi,#NAME?,#NAME?,0.32663426,-0.366512921,#NAME?,0.32663426,1.526744802,1.643624299,1.433340258,1.38492448,2.048547102,1.545719936,0.148438037,0.201940696,0.834032445,1.531470493,2.153215028,1.298435802,2.255832504,2.225046862,0.030785642
5,audi,#NAME?,#NAME?,0.32663426,-0.366512921,0.094047828,0.475884995,1.525871963,1.643624299,1.43405949,1.38492448,2.07265728,1.591814506,0.148438037,0.201940696,0.732099368,1.557077128,2.153215028,1.214109998,2.279019076,2.265811007,0.013208069
6,audi,#NAME?,#NAME?,-0.366512921,-0.366512921,#NAME?,0.475884995,1.526744802,1.644388601,1.43370021,1.379314289,2.057559121,1.591814506,0.148438037,0.201940696,0.760836746,1.547664709,2.153215028,1.238370621,2.265125645,2.246434187,0.018691458
7,audi,#NAME?,#NAME?,0.32663426,-0.366512921,#NAME?,0.475884995,1.539348122,1.660346702,1.451215122,1.391276964,2.07354504,1.591814506,0.148438037,0.201940696,0.760836746,1.547664709,2.153215028,1.238370621,2.280532178,2.263662771,0.016869407
8,audi,#NAME?,#NAME?,0.32663426,0.094047828,#NAME?,0.475884995,1.539348122,1.660346702,1.451215122,1.391276964,2.078305329,1.591814506,0.148438037,0.201940696,0.760836746,1.547664709,2.153215028,1.238370621,2.287265834,2.2687931,0.018472734
9,audi,#NAME?,-0.366512921,0.32663426,-0.366512921,#NAME?,0.475884995,1.539348122,1.660346702,1.451215122,1.392168172,2.083761078,1.58416058,0.131933996,0.201940696,0.74964826,1.59769775,2.153215028,1.192660116,2.310611511,2.285931703,0.024679808
10,audi,#NAME?,-0.366512921,-0.366512921,#NAME?,0.094047828,0.475884995,1.526090573,1.645366002,1.439369625,1.374030395,2.082422095,1.58416058,0.131933996,0.201940696,0.665729811,1.624360774,2.153215028,1.192660116,2.281389261,2.289690072,-0.008300811
11,bmw,#NAME?,#NAME?,-0.366512921,-0.366512921,-0.366512921,0.32663426,1.529766533,1.64384304,1.428229081,1.38492448,2.051702666,1.543753397,0.225351487,0.029189236,0.776914507,1.529337982,2.159362688,1.28767246,2.272833286,2.228365352,0.044467934
12,bmw,#NAME?,#NAME?,0.32663426,-0.366512921,-0.366512921,0.32663426,1.529766533,1.64384304,1.428229081,1.38492448,2.051702666,1.543753397,0.225351487,0.029189236,0.776914507,1.529337982,2.159362688,1.28767246,2.275886547,2.228365352,0.047521195
13,bmw,#NAME?,#NAME?,-0.366512921,-0.366512921,-0.366512921,0.583198081,1.529766533,1.64384304,1.428229081,1.38492448,2.067458014,1.629214349,0.179775142,0.148438037,0.787195008,1.567738563,2.122821174,1.268452966,2.297657786,2.263805752,0.033852034
14,bmw,#NAME?,#NAME?,0.32663426,-0.366512921,-0.366512921,0.583198081,1.529766533,1.64384304,1.428229081,1.38492448,2.069996567,1.629214349,0.179775142,0.148438037,0.787195008,1.567738563,2.122821174,1.268452966,2.298302461,2.266541639,0.031760822
15,bmw,#NAME?,#NAME?,0.32663426,-0.366512921,-0.366512921,0.583198081,1.534622037,1.656654843,1.435845894,1.391276964,2.082503707,1.629214349,0.179775142,0.148438037,0.787195008,1.567738563,2.122821174,1.247388578,2.313433827,2.281122684,0.032311143
16,bmw,#NAME?,#NAME?,0.32663426,-0.366512921,-0.366512921,0.583198081,1.534622037,1.656654843,1.435845894,1.391276964,2.089421255,1.675662683,0.251905163,0.199530891,0.732099368,1.649428846,2.151082232,1.192660116,2.335436568,2.312791873,0.022644694
17,bmw,#NAME?,#NAME?,-0.366512921,-0.366512921,-0.366512921,0.583198081,1.534622037,1.661428037,1.439369625,1.38213899,2.095023385,1.675662683,0.251905163,0.199530891,0.732099368,1.649428846,2.151082232,1.192660116,2.363584318,2.318829485,0.044754834
18,bmw,#NAME?,#NAME?,0.32663426,-0.366512921,-0.366512921,0.583198081,1.547664709,1.664532681,1.44956734,1.393938702,2.099482596,1.675662683,0.251905163,0.199530891,0.732099368,1.649428846,2.151082232,1.169032176,2.352843196,2.324871068,0.027972128
19,chevrolet,#NAME?,#NAME?,-0.366512921,#NAME?,#NAME?,0.094047828,1.50004081,1.59928027,1.410824059,1.379787839,1.98858481,1.413635625,0.065931065,0.103064239,0.811504184,1.353564798,2.144409168,1.457983522,2.145574044,2.101973381,0.043600663
20,chevrolet,#NAME?,#NAME?,-0.366512921,#NAME?,#NAME?,0.32663426,1.514819457,1.619232741,1.423737888,1.374030395,2.01966904,1.5040351,0.103064239,0.126300196,0.816144641,1.44656486,2.151082232,1.407560699,2.168769197,2.166793263,0.001975934
21,chevrolet,#NAME?,#NAME?,0.32663426,-0.366512921,#NAME?,0.32663426,1.514819457,1.622876321,1.423737888,1.374030395,2.022121547,1.5040351,0.103064239,0.126300196,0.816144641,1.44656486,2.151082232,1.407560699,2.173731867,2.169436415,0.004295452
22,dodge,#NAME?,#NAME?,-0.366512921,#NAME?,#NAME?,0.32663426,1.512948639,1.621001755,1.424493685,1.368104004,2.019810576,1.5040351,0.084857516,0.159122986,0.80726705,1.439718464,2.153215028,1.399157512,2.154724014,2.166049687,-0.011325672
23,dodge,#NAME?,#NAME?,-0.366512921,#NAME?,#NAME?,0.32663426,1.512948639,1.621001755,1.424493685,1.368104004,2.019810576,1.5040351,0.084857516,0.159122986,0.806792641,1.439718464,2.153215028,1.364054633,2.170247621,2.16788556,0.002362061
24,dodge,#NAME?,-0.366512921,-0.366512921,#NAME?,#NAME?,0.32663426,1.512948639,1.621001755,1.424493685,1.368104004,2.036395442,1.522783013,0.103064239,0.199530891,0.707123183,1.531470493,2.153215028,1.298435802,2.195201123,2.209276368,-0.014075245
25,dodge,#NAME?,#NAME?,0.32663426,#NAME?,#NAME?,0.32663426,1.512948639,1.621001755,1.424493685,1.367099201,2.026075682,1.5040351,0.084857516,0.159122986,0.806792641,1.439718464,2.153215028,1.364054633,2.167563572,2.174637684,-0.007074112
